Dimension,Label,Colour
EndUseGroup,Unknown,#000000
EndUse,Unknown,#000000
EndUseGroup,Electronics and Lighting,#4977b5
EndUseGroup,Heating/Cooling,#3a93ae
EndUseGroup,Iron and Steel,#00a9ab
EndUseGroup,Mobile Motive Power,#854c95
EndUseGroup,Stationary Motive Power,#2fbb8b
EndUseGroup,Transport,#854c95
EndUse,"Motive Power, Mobile",#6c2872
EndUse,Electronics and Other Electrical Uses,#3f427e
EndUse,Lighting,#7ed0ff
EndUse,Fans,#485d9a
EndUse,Refiners,#6cb2e7
EndUse,Irrigation,#5179b5
EndUse,Compressed Air,#5d95cf
EndUse,"High Temperature Heat (>300 C), Process Requirements",#79dbdb
EndUse,"Intermediate Heat (100-300 C), Process Requirements",#204e74
EndUse,"Low Temperature Heat (<100 C), Space Heating",#6accd3
EndUse,"Low Temperature Heat (<100 C), Water Heating",#235b81
EndUse,Refrigeration,#5cbeca
EndUse,"Low Temperature Heat (<100 C), Process Requirements",#26698d
EndUse,"Intermediate Heat (100-300 C), Cooking",#4fafc2
EndUse,Space Cooling,#2b7798
EndUse,"Low Temperature Heat (< 100 C), Dishwashers",#43a1b8
EndUse,"Low Temperature Heat (<100 C), Clothes Washing",#3285a3
EndUse,"Low Temperature Heat (<100 C), Clothes Drying",#3a93ae
EndUse,"Motive Power, Stationary",#36dfa8
EndUse,Pumping,#12593c
EndUse,Iron and Steel Manufacturing,#4ddec9
FuelGroup,Unknown,#000000
Fuel,Unknown,#000000
FuelGroup,Electricity,#3a93ae
FuelGroup,Fossil Fuels,#854c95
FuelGroup,Renewables,#2fbb8b
Fuel,Diesel,#6c2872
Fuel,Petrol,#d2b6ff
Fuel,Natural Gas,#7d4089
Fuel,Coal,#c09ee7
Fuel,Av. Fuel/Kero,#8d57a0
Fuel,LPG,#af86cf
Fuel,Fuel Oil,#9e6eb8
Fuel,Electricity,#79dbdb
Fuel,Wood,#36dfa8
Fuel,Geothermal,#12593c
Fuel,Solar,#2cb081
Fuel,Biogas,#20835d
SectorGroup,Unknown,#000000
