Dimension,Label,Colour
EndUse,Compressed Air,#2c5066
EndUse,Electronics and Other Electrical Uses,#436175
EndUse,Fans,#597184
EndUse,"High Temperature Heat (>300 C), Process Requirements",#49b89c
EndUse,"Intermediate Heat (100-300 C), Cooking",#52bca2
EndUse,"Intermediate Heat (100-300 C), Process Requirements",#5ac1a7
EndUse,Iron and Steel Manufacturing,#536662
EndUse,Irrigation,#748595
EndUse,Lighting,#8692a1
EndUse,"Low Temperature Heat (< 100 C), Dishwashers",#63c5ad
EndUse,"Low Temperature Heat (<100 C), Clothes Drying",#6bc9b3
EndUse,"Low Temperature Heat (<100 C), Clothes Washing",#74cdb9
EndUse,"Low Temperature Heat (<100 C), Process Requirements",#7cd1bf
EndUse,"Low Temperature Heat (<100 C), Space Heating",#85d5c5
EndUse,"Low Temperature Heat (<100 C), Water Heating",#8ddaca
EndUse,"Motive Power, Mobile",#ef7649
EndUse,"Motive Power, Stationary",#FF8B83
EndUse,Pumping,#ffa9a3
EndUse,Refiners,#9ca2b0
EndUse,Refrigeration,#96ded0
EndUse,Space Cooling,#9ee2d6
EndUseGroup,Electronics and Lighting,#164057
EndUseGroup,Heating/Cooling,#41B496
EndUseGroup,Iron and Steel,#3C4C49
EndUseGroup,Mobile Motive Power,#E94E24
EndUseGroup,Stationary Motive Power,#ED6D63
Fuel,Electricity,#425970
Fuel,Av. Fuel/Kero,#eb5e36
Fuel,Coal,#ee6f48
Fuel,Diesel,#f07f5a
Fuel,Fuel Oil,#f28f6d
Fuel,LPG,#f49f7f
Fuel,Natural Gas,#f7b091
Fuel,Petrol,#f9c0a3
Fuel,Biogas,#58c0a6
Fuel,Geothermal,#70cbb6
Fuel,Solar,#87d6c6
Fuel,Wood,#9ee2d6
FuelGroup,Renewables,#41B496
FuelGroup,Electricity,#164057
FuelGroup,Fossil Fuels,#E94E24
Sector,Accommodation and Food Services,#1f475d
Sector,"Agriculture, Forestry and Fishing",#3C4C49
Sector,Air Transport,#5e8788
Sector,"Arts, Recreational and Other Services",#284d63
Sector,"Building Cleaning, Pest Control and Other Support Services",#315469
Sector,Commercial,#164057
Sector,Construction,#ea552c
Sector,Dairy Cattle Farming,#515f5c
Sector,Dairy Product Manufacturing,#eb5c34
Sector,Defence,#3a5a6f
Sector,"Education and Training: Pre-School, Primary and Secondary",#436175
Sector,Education and Training: Tertiary Education and Other Education,#4c677b
